id,time,type,prev_id,Engagement_index,Hop,Non_follower
27133902,0,tweet,27133902,0,0,0
1.14133E+18,656807,reply,1.14133E+18,0,1,0
1.61641E+18,651506,reply,1.61641E+18,0,1,0
138553155,587484,reply,138553155,0,1,0
912664927,569670,reply,912664927,0,1,0
1.27025E+18,550805,reply,1.27025E+18,0,1,1
1.50415E+18,496319,reply,1.50415E+18,0,1,0
833736721,494941,reply,833736721,0,2,0
421582380,486821,reply,421582380,0,1,0
1.25447E+18,486287,reply,1.25447E+18,0,1,0
1.31243E+18,422893,reply,1.31243E+18,0,1,0
8.16156E+17,418844,reply,8.16156E+17,0,1,0
1.30662E+18,407510,reply,1.30662E+18,0,2,0
1.04102E+18,389702,reply,1.04102E+18,0,1,0
1.41591E+18,383120,reply,1.41591E+18,0,1,0
7.10935E+17,381503,reply,7.10935E+17,0,1,0
1.24859E+18,324701,reply,1.24859E+18,0,1,0
350016249,316024,reply,350016249,0,1,0
1486172533,315446,reply,1486172533,0,1,0
2253197456,308027,reply,2253197456,0,1,0
86613430,304603,reply,86613430,0,1,0
1.23496E+18,300926,reply,1.23496E+18,0,1,0
3395804534,277656,reply,3395804534,0,1,0
7.94567E+17,252744,reply,7.94567E+17,0,1,0
1616257112,230265,reply,1616257112,0,1,0
3302068367,223721,reply,3302068367,0,1,0
21603140,217087,reply,21603140,0,2,0
2169749384,198241,reply,2169749384,0,1,0
1.07457E+18,184894,reply,1.07457E+18,0,1,1
1.29934E+18,163098,reply,1.29934E+18,0,1,0
1460763980,148110,reply,1460763980,0,1,0
1.47736E+18,144762,reply,1.47736E+18,0,1,0
155971700,136434,reply,155971700,0,2,0
1.32831E+18,134636,reply,1.32831E+18,0,1,1
1.24389E+18,130672,reply,1.24389E+18,0,1,1
158433221,125512,reply,158433221,0,3,0
1.27022E+18,124970,reply,1.27022E+18,0,1,0
1.62638E+18,122022,reply,1.62638E+18,0,1,1
1.45748E+18,120287,reply,1.45748E+18,0,1,1
142888110,119549,reply,142888110,0,2,0
1377371360,116761,reply,1377371360,0,1,0
3123628639,116043,reply,3123628639,0,2,0
1.33845E+18,114190,reply,1.33845E+18,0,2,0
1.20931E+18,113378,reply,1.20931E+18,0,1,0
7.97046E+17,108947,reply,7.97046E+17,0,1,0
8.20562E+17,108882,reply,8.20562E+17,0,1,0
1.58207E+18,102440,reply,1.58207E+18,0,1,0
1.53411E+18,97868,reply,1.53411E+18,0,2,0
2471763136,96959,reply,2471763136,0,3,0
3780297193,95798,reply,3780297193,0,1,0
1.32906E+18,85916,reply,1.32906E+18,0,1,0
132429304,85547,reply,132429304,0,1,0
1.32914E+18,79127,reply,1.32914E+18,0,1,0
8.03186E+17,78869,reply,8.03186E+17,0,1,0
8.68517E+17,78856,reply,8.68517E+17,0,1,0
1.1248E+18,78217,reply,1.1248E+18,0,1,0
1.14797E+18,75486,reply,1.14797E+18,0,2,0
1.2259E+18,74743,reply,1.2259E+18,0,3,0
1.15731E+18,73218,reply,1.15731E+18,0,2,0
1.31865E+18,68520,reply,1.31865E+18,0,1,1
1.116E+18,66702,reply,1.116E+18,0,2,0
8.42741E+17,66696,reply,8.42741E+17,0,2,0
1.61237E+18,66478,reply,1.61237E+18,0,2,0
1.02404E+18,65528,reply,1.02404E+18,0,1,0
1.16754E+18,63596,reply,1.16754E+18,0,2,0
1.22991E+18,63556,reply,1.22991E+18,0,3,0
1.38662E+18,62445,reply,1.38662E+18,0,1,1
1.62181E+18,62161,reply,1.62181E+18,0,1,1
1.4146E+18,61873,reply,1.4146E+18,0,2,0
1.18332E+18,61485,reply,1.18332E+18,0,2,0
