id,followers,username,time,last_child_time,Hop,Non_follower
27133902,1039296,6lack,0,667808,0,0
1.14133E+18,2,officiial_anas,656807,656807,1,0
1.61641E+18,1,SebazMoon,651506,651506,1,0
138553155,707,lifeetbc,587484,591160,1,0
912664927,1186,MCMXCVI_A,569670,569670,1,0
1.27025E+18,499,SathulaBongani,550805,550805,1,1
1.50415E+18,37,YoungDr37448565,496319,496319,1,0
833736721,198,SurafaleA,494941,667808,2,0
421582380,307,JesusWuzzAJew,486821,486821,1,0
1.25447E+18,1146,ExtremelyKole,486287,667808,1,0
1.31243E+18,42,slaw803,422893,422893,1,0
8.16156E+17,383,Rlph_XX,418844,418844,1,0
1.30662E+18,1073,KCYON3,407510,667808,2,0
1.04102E+18,33,pninasasson,389702,389702,1,0
1.41591E+18,1,idkgod18,383120,383120,1,0
7.10935E+17,39,QuovadisW,381503,381503,1,0
1.24859E+18,219,tiaalh_,337925,406353,1,0
350016249,178,jbarrett195,486615,486615,1,0
1486172533,146,missashleh,315446,315446,1,0
2253197456,1437,admirethegirl,308027,308027,1,0
86613430,254,_LaLucky,304603,304603,1,0
1.23496E+18,101,2hard2kiII,300926,300926,1,0
3395804534,90,goodhumanstan,277656,277656,1,0
7.94567E+17,288,rajenn714,252744,252744,1,0
1616257112,356,imdrizzy_ng,230265,667808,1,0
3302068367,312,Justmonaja,223721,223721,1,0
21603140,1011,robjhump,217087,217087,2,0
2169749384,72,moeluvlyj_long,198241,198241,1,0
1.07457E+18,23,DonnyFebles,184894,184894,1,1
1.29934E+18,15,sabrina_muhree,163156,163156,1,0
1460763980,73,zizzofalolu_17,148110,148110,1,0
1.47736E+18,205,jordaniiaa_,144762,144762,1,0
155971700,1366,Skeezy89,136434,667808,2,0
1.32831E+18,355,vvsgideon1,134636,667808,1,1
1.24389E+18,191,andrew_3stacks,130672,130672,1,1
158433221,2145,mcknz02,125512,667808,3,0
1.27022E+18,35,Justpatrick12,124970,124970,1,0
1.62638E+18,24,jeantopaz3,122022,122022,1,1
1.45748E+18,150,oloyedey4u0,120287,120287,1,1
142888110,102,MesWilliams,119549,119549,2,0
1377371360,7,SteedSimon,116761,116761,1,0
3123628639,907,AgwomJoshua,116043,667808,2,0
1.33845E+18,229,kamo05121,114190,114190,2,0
1.20931E+18,122,WisdomOchei,113380,113380,1,0
7.97046E+17,150,bavii94,108947,108947,1,0
8.20562E+17,1419,arnold_notes1,108882,667808,1,0
1.58207E+18,491,capitalgains_zw,102440,102440,1,0
1.53411E+18,1970,4StarboyymiEezy,97868,667808,2,0
2471763136,1183,Booitii,96959,667808,3,0
3780297193,94,SevyPay100,95798,95798,1,0
1.32906E+18,15,OhhyeahhJordan,85916,85916,1,0
132429304,38,PRPLNNJATRTL,85547,85547,1,0
1.32914E+18,43,MicahRo53546999,79127,79127,1,0
8.03186E+17,191,dece_tutt,78887,78887,1,0
8.68517E+17,67,drop_that_joint,78856,78856,1,0
1.1248E+18,568,slowlytxx,78238,78308,1,0
1.14797E+18,64,goldengodnora,75486,75486,2,0
1.2259E+18,353,overratedFrank,74766,667808,3,0
1.15731E+18,2,ID3NT1TY19,73218,73218,2,0
1.31865E+18,153,xamitexmusic,68520,68520,1,1
1.116E+18,693,switcherooooo,66702,667808,2,0
8.42741E+17,4233,splendor_obasi,66696,667808,2,0
1.61237E+18,131,e_o_b__99,66478,66478,2,0
1.02404E+18,93,MlohDj,65528,65528,1,0
1.16754E+18,522,real_favoryt,63659,667808,2,0
1.22991E+18,174,Jamie_ose,63572,667808,3,0
1.38662E+18,15,David61271273,62445,62445,1,1
1.62181E+18,2,LILDOPEXT,62161,62161,1,1
1.4146E+18,1067,MJayLeso,61873,667808,2,0
1.18332E+18,383,_grim_umar,61485,667808,2,0
1.47021E+18,379,kaiokev,61402,61402,1,0
801957679,6611,Chukky_Alozie,61370,667808,2,0
1.51281E+18,7,BoitumelloNA96,60591,60591,1,0
1.49664E+18,99,SIRTWAK_,59802,59802,1,1
1665399054,301,AzBold08,58509,667808,1,0
345544880,7340,kylaaaa__,57840,667808,2,0
1.16999E+18,2134,oluwatobi_x,57638,667808,2,0
43014530,1097,LisoIsCold,56752,56752,1,0
1157511763,56,barbiecaruso31,56540,56540,1,0
527726187,275,TheKolorBlue,56482,667808,2,0
855493100,1550,Hadassxh,55512,667808,2,0
753980126,245,Nsuami_Boursier,55035,55035,3,0
804309374,2177,thisfreedreamer,54979,54979,1,0
1.62799E+18,1,sanjuanita_f,54581,54581,1,1
435011866,3496,Theleaguesmusic,53821,667808,1,0
1.26605E+18,5493,TysonMthembu_,53228,667808,1,0
1.5895E+18,440,ThandiMkhize9,51686,51686,1,1
1.61281E+18,0,zeing_aer,51439,51439,1,0
1.38773E+18,18,Tommywenceslaus,51206,51206,1,0
441666623,3269,sami_incredible,51133,667808,2,0
1.61941E+18,121,shalala_simonda,51077,154273,1,0
1480204800,8761,gifkeyboard,49608,116445,1,1
2927982057,3667,Oshorenoya_,47973,667808,1,0
9.99313E+17,371,_Summerhuz,47872,667808,2,0
521011911,48,bragabrunoo97,47554,47554,2,0
8.31755E+17,132,OzukumAyang,47085,47085,1,1
4088715447,1515,deejjerry,46812,667808,1,0
1.19405E+18,89,1Luv1King,46412,46412,1,0
1.21187E+18,6,mariellehabibti,45746,45746,1,0
1.09938E+18,22,trey_figueroa,44868,44868,1,0
9.32642E+17,197,luuciti_,44582,44582,2,0
4817218460,246,blerd87,44561,223423,1,0
1.63874E+18,67,jadiep00hh,44416,667808,3,0
103426592,1378,URBANTHAMAN,43400,667808,2,0
1.51708E+18,420,blairhxxy414,45910,667808,3,0
946716372,607,mselenaz,43334,131038,1,0
1.32462E+18,2335,BobyRae_,58490,667808,2,0
1.161E+18,975,slimesrirracha,42009,569294,1,0
1.58379E+18,31,Markenio7,41577,41577,1,0
4038785165,543,clb_haze,41467,667808,1,0
9.93133E+17,1346,M_EX__Mngambi,40172,667808,1,0
4506108435,44,hitback_,39672,39672,1,0
1.2641E+18,185,kyngxxxz,39117,667808,1,0
527684231,736,_Dakol,38047,667808,1,0
7.97581E+17,1113,fayorseyadams,37948,667808,1,0
1.07542E+18,43,liza_overheard,37635,37635,1,0
28189337,702,HeyEskee,37209,38722,2,0
361239201,627,nathaliavbraz,37226,37226,1,0
3411003424,248,calebromero829,37169,37169,1,0
1.45738E+18,1099,BiggCwesi,37164,667808,3,0
1.26755E+18,290,jalaadayy,36476,50139,3,0
491457681,291,Sybotic,35991,35991,1,0
9.43994E+17,236,enchanthoneyy,35173,35173,1,1
1.38789E+18,743,Kutlwayne_,35100,667808,1,0
8.79842E+17,1356,_MaGatyeni_,35100,667808,2,0
1.20057E+18,36,allenrixxx,35033,35033,1,1
78455925,650,sahanaj,34711,68266,1,0
271679201,345,keontaenorm,34672,667808,1,0
61343396,1698,RicDiaghe,33916,667808,1,0
1.01936E+18,15,carlosaresjr,33414,33414,1,1
1.05917E+18,133,FolaRanking001,32649,32649,3,0
844784174,98,Fijian_flow727,31938,31938,1,0
1562442030,38,phinaldol,31854,31854,1,1
1.38498E+18,25,katie10160676,31053,31053,1,1
1.28622E+18,1676,__Dipronesis542,30888,667808,2,0
3043472897,477,SPHAMANDLAKOKI,30821,667808,2,0
1.59996E+18,8,rileytown4,30351,30351,1,0
1379371302,4688,darlytheboy,30288,667808,2,0
194512111,140,NayBleedsGreen,29626,95371,1,0
1.63431E+18,191,Oluwatobitweet_,29575,29575,1,1
1.37986E+18,346,OmahVibeZz,29550,667808,1,1
56174569,195,MTCMCMXCI,39664,39664,1,0
7.4029E+17,952,alexiia_CAMps,26617,26617,1,0
3645725489,53,Greyguzz,26045,26045,1,1
1.6265E+18,5,n0xxxstar,25628,25628,1,1
19729275,338,LordNazie,25563,25563,1,0
2758599058,114,mwakayanga,25447,667808,3,0
294689931,4633,djzhiro1,25421,667808,2,0
180727748,2133,akosua_win,22966,667808,2,0
8.01587E+17,307,sxrxhdm,22851,22851,1,1
1.42912E+18,382,Darkgold37,22822,22822,1,0
1.20363E+18,386,Adesanya__,22601,667808,2,0
9.36731E+17,1473,BoutSurvival,22198,667808,1,0
3318408462,217,q_baiz,21959,667808,1,0
4754526016,13532,Sharon_R_Nyika,21907,667808,2,0
1.03775E+18,2329,pperezzzzz,21688,667808,1,0
3042743665,225,Nellbeecky,21507,667808,3,0
9.57734E+17,459,iamchantel_b,21292,667808,1,0
1967674176,194,Inioluwa_luv,21303,21303,1,1
7.18486E+17,1614,darrieWRLD,20515,667808,1,0
9.40152E+17,997,sonOfUtopia,20114,667808,1,0
9.94902E+17,461,96Kilo,19852,667808,1,0
1.31026E+18,1711,g0os3_bumps,19513,19513,1,0
1.132E+18,453,Theolaa24,40896,667808,2,0
7.45813E+17,648,Jriveee,18172,18172,1,0
94532034,9974,Wejood26,18070,18070,1,0
1.52544E+18,507,tkibanedmai,18008,667808,2,0
1.20583E+18,841,sparo__x,17625,667808,3,0
1.26722E+18,124,Thokoza39124720,17676,20554,1,0
1.50917E+18,1129,stanyelyah,17506,667808,1,0
1.1483E+18,249,ptrkrnr,17461,17461,1,0
1.53544E+18,531,AstralDemonKaos,17417,29766,1,0
1.46132E+18,1101,GIRLTAKER147,17264,667808,3,0
952604455,855,TakamaruReviews,17051,17051,1,1
8.04467E+17,1214,_theprincealex,16970,667808,1,0
1.16995E+18,439,el_Vee__,16949,667808,2,0
1.39641E+18,5395,kaysArkye,16896,667808,2,0
1.60032E+18,6,kopo_sibusiso,16708,16708,1,0
1.2685E+18,72,agabs___,16402,16402,1,1
43563273,577,ceddytowa,16197,566216,2,0
1.55565E+18,33,ChorkorCowboy,15308,667808,2,0
2455037295,203,just_in_polo,15197,33944,1,0
9.99597E+17,893,Nkole_,15124,667808,1,0
