id,followers,username,time,last_child_time,Hop,Non_follower
19739126,2511152,SpeakerMcCarthy,0,696474,0,0
899032910,231,mtbow1000,593764,688144,3,0
617804879,4031,jimhollo,590370,688144,2,0
938717942,2274,CBonkosky,582171,688144,2,0
1.0132E+18,4514,Just4lyn1,580022,688144,2,0
7.23236E+17,113,espengh,577196,688144,1,0
16568041,686,Galylynn,566615,688144,3,0
3462419953,3726,mhp_1776,563515,688144,2,0
1.10986E+18,166,nywriter4,561739,561739,1,1
2564306545,2933,scott_catharine,561110,688144,2,0
8.2187E+17,3653,SchoolingDiana,560873,688144,2,0
834600474,2230,ptrevino1194,559563,688144,1,0
517692984,2498,kmorga1,559056,688144,2,0
29919827,507,bbcat259,558633,688144,1,0
1.3119E+18,21,Michael30067573,556916,556916,2,0
1059226663,4220,dedunlop,547336,688144,2,0
1.44391E+18,1,TeressaHowell13,525948,525948,1,0
1.41626E+18,5,Angelliquermc,521221,521221,1,1
1.61762E+18,2,LaurieCloutie11,520827,520827,1,0
1.35156E+18,1,p_hyle,513941,513941,2,0
1.1589E+18,14,BryanKa45915083,509193,509193,1,1
1.14325E+18,0,SickOfIt68,506727,506727,1,1
1.54053E+18,1,Alive14Alive,465527,465527,4,0
191458890,64,LadybugCounting,464591,688144,1,0
1.59885E+18,3,travisj36345218,458860,458860,2,0
36361387,21,Haveacupatea,450689,450689,1,0
8.74741E+17,4,FaithNet416,446002,446002,1,0
1.50309E+18,5,MhmdkhaldT,444655,444655,1,1
1.47153E+18,1,JoseZ16744165,438994,438994,1,1
2316375672,15,createchange13,433207,433207,2,0
1.58603E+18,16,ScottOw14440248,426532,426532,2,0
4571923935,6,balda_francisco,420860,420860,1,0
1.50347E+18,10,realmichaelmcf,420781,420781,1,0
1.44607E+18,2,davidc53501043,419933,419933,2,0
88724363,127,SocraToMe,419235,688144,4,0
1.60229E+18,4,Jerome14563861,415755,415755,1,1
40434207,59,buddymoran,413692,413692,1,1
1.51898E+18,1286,BonaNaCroin,398747,688144,1,0
1.5909E+18,32,crotti_terrie,397228,397228,1,1
1.41392E+18,333,CBlane5,393295,688144,1,0
1.5419E+18,8,AlessandriaTina,392003,392003,1,1
9.38199E+17,6111,KoKo1Gee,390158,688144,2,0
175276905,5626,DawgsNHawks,388304,688144,2,0
8.25546E+17,872,Minkiemom17,385116,688144,2,0
264343007,1823,teelorr1954,383556,688144,2,0
1.61842E+18,7,GeorgeLessard8,377409,377409,1,0
2512651145,25,guyofsa,376397,376397,1,1
1.56312E+18,96,dreadendennis9,376296,376296,1,0
428480497,200,PrasadJason,374593,688144,1,0
8.23688E+17,5500,DragonflyMama7,373970,688144,2,0
1.57268E+18,4,MsGray1943,371671,371671,1,1
1.05054E+18,9,patrici35595017,371104,688144,1,0
296485690,950,klgro,368270,688144,2,0
1.6227E+18,1,Theresa47836557,365562,365562,1,1
1.09612E+18,4,kingmaxwello,364994,364994,1,1
8.25902E+17,984,Senorpigletto,364097,688144,3,0
1006693802,87,GladysAyes,359466,688144,1,0
8.46128E+17,1660,elephant1417,357923,688144,2,0
858816529,58,KGSUS,356731,646662,1,1
1.48926E+18,32,mhuskerchzhead,355299,688144,1,0
395697608,1199,KarenLee1956,354516,688144,2,0
9.1386E+17,3,Dammit_Beavis,354055,354055,2,0
1.62062E+18,1,iamAlexIndigo,352717,352717,1,0
1.51867E+18,4,ExiledPiranha,350259,350259,2,0
150314000,58,jim03060,349582,688144,1,0
32496199,32,cary767,349155,349155,2,0
1.43168E+18,9,GarySte09701004,348536,348536,1,1
23656226,4,Marianne1674,347756,347756,1,1
1.10449E+18,2,VickieJ19768869,344363,344363,1,1
1949570936,11,CarolBrodie2,343687,343687,1,0
107288264,58,NStrandberg,343175,343175,2,0
723518348,59,rhomeyn,342653,342653,2,0
4884395871,233,Igtkta1983,342445,688144,1,0
546590211,16,VinnyGiordano46,341728,341728,1,1
7.85961E+17,4,bill_osburg,341099,341099,1,0
7.60631E+17,3415,captaincrumble1,340126,688144,2,0
335739685,226,NotNorquist,339669,688144,4,0
9.66144E+17,17,KevinMcGuire4u,336976,336976,1,1
9.65244E+17,1,magavary,336150,336150,2,0
1.40226E+18,22,rivz586,327545,327545,1,1
8.69881E+17,115,Lin251982,327125,327125,2,0
437759301,7,Bestraight2020,323530,323530,1,0
1.54859E+18,17,busterposey892,314424,314424,1,1
3273862824,128,4439234d179d485,311380,688144,1,1
1.0566E+18,11953,Franks2ndlife,307413,688144,2,0
3019544512,2338,DavidShamu,307287,688144,2,0
266811389,298,bookwormwmb,306210,688144,3,0
1.5264E+18,5,disappointdiane,306050,306050,1,1
1.23346E+18,1339,RachelDelray,300733,688144,1,0
1.4922E+18,151,joeburger700,300597,688144,2,0
17125261,185,whdaffer,299910,688144,2,0
8.72058E+17,2185,andy_finnigan,299677,688144,1,0
2691273894,1,Guesswh8tD,299174,299174,1,1
2992637881,42,janiscolton1,298716,688144,1,0
1.10307E+18,214,StathiosB,297597,688144,3,0
32279102,7158,islamia_cm,296962,688144,2,0
1416929048,1124,JohnWirt1,295427,688144,2,0
1.60469E+18,13,rajput_sukhera,295165,295165,2,0
7.50029E+17,22,aaronSr1966,294298,294298,1,0
8.06898E+17,418,RubinlawPLLC,293897,688144,3,0
579782524,265,johnspav64,292854,688144,3,0
1.50168E+18,9,Lisa11291199,292693,292693,2,0
1.03605E+18,3743,tigersharktom,290696,688144,1,0
1.48817E+18,16,the1calledmikey,289177,289177,2,0
536789660,32,yanceysanders,287772,287772,2,0
1.4829E+18,2,ShurickCraig,285972,285972,1,1
619532888,776,bigcajunwba,285748,688144,3,0
107314373,85,JRipperJr,285393,285393,1,1
21918138,503,amw47,284948,688144,2,0
1.62961E+18,1,Mo11i3Mollie,284265,284265,1,1
9.04584E+17,4530,TonyFernandezS1,281510,688144,2,0
7.88496E+17,29,UCorporationsA,281121,281121,1,0
1.01059E+18,1293,JamieHogensen,280834,688144,2,0
1.53871E+18,1,m06060447,280441,280441,1,1
160940319,7,ttorres66,280250,280250,1,0
153784300,208,Polytemple,277990,688144,2,0
81252170,24,K060542,277662,277662,1,1
